119,BRON LYON AEROPORT FR,20130506,213.000
120,VALENTIA OBSERVATORY EI,20000616,212.000
121,VITORIA FORONDA SP,19830614,212.000
122,VITORIA FORONDA SP,19830812,212.000
123,VITORIA FORONDA SP,19831012,212.000
124,VALENTIA OBSERVATORY EI,20000723,211.000
125,VALENTIA OBSERVATORY EI,19990805,210.000
126,VITORIA FORONDA SP,19830601,208.000
127,VITORIA FORONDA SP,19830624,208.000
128,VITORIA FORONDA SP,19830720,208.000
129,VITORIA FORONDA SP,19830811,208.000
130,VITORIA FORONDA SP,19830824,208.000
131,VALENTIA OBSERVATORY EI,20000720,207.000
132,BRON LYON AEROPORT FR,20130502,207.000
133,VALENTIA OBSERVATORY EI,19990801,206.000
134,VITORIA FORONDA SP,19830623,206.000
135,VITORIA FORONDA SP,19830825,206.000
136,VITORIA FORONDA SP,19831021,206.000
137,VALENTIA OBSERVATORY EI,19990903,205.000
138,VALENTIA OBSERVATORY EI,19990823,204.000
139,VITORIA FORONDA SP,19830803,204.000
140,VALENTIA OBSERVATORY EI,19990807,203.000
141,VALENTIA OBSERVATORY EI,20000628,203.000
142,VALENTIA OBSERVATORY EI,20000910,203.000
143,VALENTIA OBSERVATORY EI,19990812,202.000
144,VALENTIA OBSERVATORY EI,20000829,202.000
145,VITORIA FORONDA SP,19831022,202.000
146,VALENTIA OBSERVATORY EI,19990729,201.000
147,VALENTIA OBSERVATORY EI,19990902,201.000
148,VALENTIA OBSERVATORY EI,19990904,200.000
149,VALENTIA OBSERVATORY EI,20000511,200.000
150,VALENTIA OBSERVATORY EI,20000704,200.000
151,VALENTIA OBSERVATORY EI,20000812,200.000
152,BRON LYON AEROPORT FR,20130413,200.000
153,VITORIA FORONDA SP,19830828,200.000
154,VITORIA FORONDA SP,19831009,200.000
155,VALENTIA OBSERVATORY EI,19990824,199.000
156,VALENTIA OBSERVATORY EI,20000507,198.000
157,VALENTIA OBSERVATORY EI,19990811,197.000
158,VALENTIA OBSERVATORY EI,20000702,197.000
159,VALENTIA OBSERVATORY EI,20000811,197.000
160,VALENTIA OBSERVATORY EI,19990804,196.000
161,VALENTIA OBSERVATORY EI,20000703,196.000
162,VITORIA FORONDA SP,19830816,196.000
163,VITORIA FORONDA SP,19831007,196.000
164,VITORIA FORONDA SP,19831014,196.000
165,VITORIA FORONDA SP,19831027,196.000
166,VALENTIA OBSERVATORY EI,19990820,195.000
167,VALENTIA OBSERVATORY EI,19990905,195.000
168,VALENTIA OBSERVATORY EI,20000503,195.000
169,VALENTIA OBSERVATORY EI,20000705,195.000
170,VALENTIA OBSERVATORY EI,20000629,194.000
171,VALENTIA OBSERVATORY EI,20000830,194.000
172,VITORIA FORONDA SP,19830617,194.000
173,VITORIA FORONDA SP,19830626,194.000
174,VITORIA FORONDA SP,19830802,194.000
175,VITORIA FORONDA SP,19831019,194.000
176,VITORIA FORONDA SP,19831028,194.000
177,VALENTIA OBSERVATORY EI,19990819,193.000
178,BRON LYON AEROPORT FR,20130423,193.000
179,VALENTIA OBSERVATORY EI,20000501,192.000
180,VALENTIA OBSERVATORY EI,20000701,192.000
181,VALENTIA OBSERVATORY EI,20000727,192.000
182,VALENTIA OBSERVATORY EI,20000822,192.000
183,VALENTIA OBSERVATORY EI,20000903,192.000
184,BRON LYON AEROPORT FR,20130411,192.000
185,VITORIA FORONDA SP,19830727,192.000
186,VITORIA FORONDA SP,19830901,192.000
187,VALENTIA OBSERVATORY EI,20000615,191.000
188,VALENTIA OBSERVATORY EI,20000728,191.000
189,BRON LYON AEROPORT FR,20130322,191.000
190,VALENTIA OBSERVATORY EI,19990806,190.000
191,VALENTIA OBSERVATORY EI,19990808,190.000
192,VALENTIA OBSERVATORY EI,19990828,190.000
193,VALENTIA OBSERVATORY EI,19990910,190.000
194,VALENTIA OBSERVATORY EI,20000724,190.000
195,VALENTIA OBSERVATORY EI,20000725,190.000
196,VALENTIA OBSERVATORY EI,20000729,190.000
197,VALENTIA OBSERVATORY EI,19990730,189.000
198,VALENTIA OBSERVATORY EI,20000502,189.000
199,VITORIA FORONDA SP,19830528,188.000
200,VITORIA FORONDA SP,19830618,188.000
201,VITORIA FORONDA SP,19830703,188.000
202,VITORIA FORONDA SP,19830910,188.000
203,VALENTIA OBSERVATORY EI,20000509,187.000
204,VALENTIA OBSERVATORY EI,20000807,187.000
205,VALENTIA OBSERVATORY EI,20000814,187.000
206,VALENTIA OBSERVATORY EI,20000815,187.000
207,VALENTIA OBSERVATORY EI,19990810,186.000
208,VALENTIA OBSERVATORY EI,19990825,186.000
209,VALENTIA OBSERVATORY EI,19990907,186.000
210,VALENTIA OBSERVATORY EI,20000706,186.000
211,VALENTIA OBSERVATORY EI,20000813,186.000
212,VALENTIA OBSERVATORY EI,20000825,186.000
213,VALENTIA OBSERVATORY EI,20000828,186.000
214,VITORIA FORONDA SP,19830903,186.000
215,VALENTIA OBSERVATORY EI,20000630,185.000
216,VALENTIA OBSERVATORY EI,20000718,185.000
217,VALENTIA OBSERVATORY EI,20000719,185.000
218,VALENTIA OBSERVATORY EI,20000731,185.000
219,VALENTIA OBSERVATORY EI,20000816,185.000
220,BRON LYON AEROPORT FR,20130130,185.000
221,VALENTIA OBSERVATORY EI,19990821,184.000
222,VALENTIA OBSERVATORY EI,20000717,184.000
223,VITORIA FORONDA SP,19830529,184.000
224,VITORIA FORONDA SP,19830619,184.000
225,VITORIA FORONDA SP,19830625,184.000
226,VITORIA FORONDA SP,19830629,184.000
227,VITORIA FORONDA SP,19830822,184.000
228,VITORIA FORONDA SP,19831107,184.000
229,VALENTIA OBSERVATORY EI,19990922,182.000
230,VALENTIA OBSERVATORY EI,20000806,182.000
231,VALENTIA OBSERVATORY EI,20000810,182.000
232,VITORIA FORONDA SP,19830613,182.000
233,VITORIA FORONDA SP,19830823,182.000
234,VITORIA FORONDA SP,19830916,182.000
235,VITORIA FORONDA SP,19831010,182.000
236,VALENTIA OBSERVATORY EI,19990802,181.000
237,VALENTIA OBSERVATORY EI,19990827,181.000
238,VALENTIA OBSERVATORY EI,19990901,181.000
239,VALENTIA OBSERVATORY EI,20000626,181.000
240,VALENTIA OBSERVATORY EI,20000730,181.000
241,VALENTIA OBSERVATORY EI,20000808,181.000
242,VALENTIA OBSERVATORY EI,19990809,180.000
243,VALENTIA OBSERVATORY EI,19990822,180.000
244,VALENTIA OBSERVATORY EI,19990919,180.000
245,VALENTIA OBSERVATORY EI,20000817,180.000
246,VALENTIA OBSERVATORY EI,20000902,180.000
247,VALENTIA OBSERVATORY EI,20000909,180.000
248,BRON LYON AEROPORT FR,20130501,180.000
249,VITORIA FORONDA SP,19830527,180.000
250,VITORIA FORONDA SP,19831008,180.000
251,VALENTIA OBSERVATORY EI,19990725,179.000
252,VALENTIA OBSERVATORY EI,19990817,179.000
253,VALENTIA OBSERVATORY EI,20000508,179.000
254,VALENTIA OBSERVATORY EI,20000826,179.000
255,VALENTIA OBSERVATORY EI,19990826,178.000
256,VALENTIA OBSERVATORY EI,19990906,178.000
257,VITORIA FORONDA SP,19830917,178.000
258,VITORIA FORONDA SP,19831026,178.000
259,VITORIA FORONDA SP,19831112,178.000
260,VALENTIA OBSERVATORY EI,19990831,177.000
261,VALENTIA OBSERVATORY EI,19991015,177.000
262,VALENTIA OBSERVATORY EI,19991016,177.000
263,VALENTIA OBSERVATORY EI,20000802,177.000
264,VALENTIA OBSERVATORY EI,20000901,177.000
265,VALENTIA OBSERVATORY EI,20000907,177.000
266,VALENTIA OBSERVATORY EI,20000908,177.000
267,BRON LYON AEROPORT FR,20130410,177.000
268,VALENTIA OBSERVATORY EI,19990814,176.000
269,VALENTIA OBSERVATORY EI,20000801,176.000
270,VALENTIA OBSERVATORY EI,20000905,176.000
271,VALENTIA OBSERVATORY EI,20000914,176.000
272,BRON LYON AEROPORT FR,20130503,176.000
273,VITORIA FORONDA SP,19831025,176.000
274,VITORIA FORONDA SP,19831108,176.000
275,VALENTIA OBSERVATORY EI,20000906,175.000
276,VALENTIA OBSERVATORY EI,20000913,175.000
277,VALENTIA OBSERVATORY EI,19990830,174.000
278,VALENTIA OBSERVATORY EI,19990909,174.000
279,VALENTIA OBSERVATORY EI,20000925,174.000
280,BRON LYON AEROPORT FR,20130307,174.000
281,VITORIA FORONDA SP,19831015,174.000
282,VALENTIA OBSERVATORY EI,20000716,173.000
283,VALENTIA OBSERVATORY EI,20000820,173.000
284,BRON LYON AEROPORT FR,20130419,173.000
285,VALENTIA OBSERVATORY EI,19990815,172.000
286,VALENTIA OBSERVATORY EI,20000619,172.000
287,VALENTIA OBSERVATORY EI,20000819,172.000
288,VALENTIA OBSERVATORY EI,20000922,172.000
289,BRON LYON AEROPORT FR,20130412,172.000
290,BRON LYON AEROPORT FR,20130504,172.000
291,VALENTIA OBSERVATORY EI,19990818,171.000
292,VALENTIA OBSERVATORY EI,20000430,171.000
293,VALENTIA OBSERVATORY EI,20000726,171.000
294,VALENTIA OBSERVATORY EI,19990920,170.000
295,VALENTIA OBSERVATORY EI,19990923,170.000
296,VALENTIA OBSERVATORY EI,19990928,170.000
297,VALENTIA OBSERVATORY EI,19990929,170.000
298,VALENTIA OBSERVATORY EI,19991017,170.000
299,VALENTIA OBSERVATORY EI,20000715,170.000
